Дата;Маршрут;Тип груза;ТС;Цена;Валюта;Комментарий
2026-04-09;Минск, Беларусь → Москва, Россия;Одежда;Рефрижератор 20т;1565.09;EUR;
2026-04-08;Минск, Беларусь → Новосибирск, Россия;Мебель;Фура 10т;3318.85;EUR;
2026-04-08;Минск, Беларусь → Санкт-Петербург, Россия;Мебель;Тентованный 20т;1715.43;EUR;
2026-04-08;Минск, Беларусь → Смоленск, Россия;FMCG;Фура 10т;904.22;EUR;
2026-04-08;Минск, Беларусь → Казань, Россия;Мебель;Тентованный 20т;2039.14;EUR;
2026-04-08;Минск, Беларусь → Санкт-Петербург, Россия;Одежда;Фура 20т;1547.01;EUR;
2026-04-07;Минск, Беларусь → Санкт-Петербург, Россия;FMCG;Фура 10т;1781.70;EUR;
2026-04-07;Минск, Беларусь → Екатеринбург, Россия;Одежда;Тентованный 20т;2724.51;EUR;
2026-04-07;Брест, Беларусь → Москва, Россия;FMCG;Фура 20т;1480.80;EUR;
2026-04-07;Минск, Беларусь → Екатеринбург, Россия;Химия;Фура 10т;2497.46;EUR;
2026-04-07;Минск, Беларусь → Казань, Россия;Металл;Рефрижератор 20т;2101.37;EUR;
2026-04-06;Минск, Беларусь → Новосибирск, Россия;Одежда;Рефрижератор 20т;3474.72;EUR;
2026-04-06;Минск, Беларусь → Москва, Россия;FMCG;Тентованный 20т;1481.45;EUR;
2026-04-06;Минск, Беларусь → Екатеринбург, Россия;Металл;Фура 10т;2681.86;EUR;
2026-04-06;Минск, Беларусь → Казань, Россия;FMCG;Фура 20т;2188.06;EUR;
2026-04-06;Минск, Беларусь → Смоленск, Россия;Одежда;Тентованный 20т;821.23;EUR;
2026-04-05;Минск, Беларусь → Смоленск, Россия;FMCG;Фура 10т;932.78;EUR;
2026-04-05;Минск, Беларусь → Смоленск, Россия;Стройматериалы;Рефрижератор 20т;817.35;EUR;
2026-04-05;Минск, Беларусь → Новосибирск, Россия;Мебель;Рефрижератор 20т;3230.81;EUR;
2026-04-05;Минск, Беларусь → Москва, Россия;Мебель;Фура 20т;546.88;EUR;
2026-04-05;Брест, Беларусь → Москва, Россия;Одежда;Рефрижератор 20т;1526.47;EUR;
2026-04-05;Минск, Беларусь → Санкт-Петербург, Россия;FMCG;Фура 10т;1600.92;EUR;
2026-04-04;Минск, Беларусь → Смоленск, Россия;Металл;Фура 10т;813.61;EUR;
2026-04-03;Брест, Беларусь → Москва, Россия;Продукты;Рефрижератор 20т;1496.58;EUR;
2026-04-03;Минск, Беларусь → Смоленск, Россия;Продукты;Рефрижератор 20т;879.75;EUR;
2026-04-03;Минск, Беларусь → Москва, Россия;Химия;Тентованный 20т;487.93;EUR;
2026-04-03;Минск, Беларусь → Санкт-Петербург, Россия;Мебель;Тентованный 20т;1678.38;EUR;
2026-04-02;Минск, Беларусь → Казань, Россия;Мебель;Рефрижератор 20т;2349.50;EUR;
2026-04-02;Минск, Беларусь → Москва, Россия;Металл;Тентованный 20т;676.39;EUR;
2026-04-02;Минск, Беларусь → Екатеринбург, Россия;Продукты;Тентованный 20т;2619.29;EUR;
2026-04-02;Минск, Беларусь → Казань, Россия;Стройматериалы;Фура 10т;2177.56;EUR;
2026-04-02;Минск, Беларусь → Новосибирск, Россия;Стройматериалы;Фура 20т;3550.61;EUR;
2026-04-01;Минск, Беларусь → Москва, Россия;Мебель;Фура 20т;558.55;EUR;
2026-04-01;Минск, Беларусь → Казань, Россия;FMCG;Фура 20т;2109.78;EUR;
2026-04-01;Минск, Беларусь → Москва, Россия;Одежда;Тентованный 20т;1598.48;EUR;
2026-04-01;Минск, Беларусь → Новосибирск, Россия;Одежда;Фура 20т;3362.47;EUR;
2026-04-01;Минск, Беларусь → Новосибирск, Россия;FMCG;Тентованный 20т;3550.44;EUR;
2026-04-01;Минск, Беларусь → Смоленск, Россия;Одежда;Фура 20т;895.37;EUR;
2026-04-01;Брест, Беларусь → Москва, Россия;Одежда;Рефрижератор 20т;1502.84;EUR;
2026-03-31;Брест, Беларусь → Москва, Россия;Стройматериалы;Фура 10т;1400.20;EUR;
2026-03-31;Минск, Беларусь → Москва, Россия;Продукты;Фура 20т;512.85;EUR;
2026-03-31;Минск, Беларусь → Новосибирск, Россия;Продукты;Фура 10т;3646.36;EUR;
2026-03-30;Минск, Беларусь → Смоленск, Россия;Мебель;Рефрижератор 20т;882.19;EUR;
2026-03-30;Минск, Беларусь → Москва, Россия;Металл;Рефрижератор 20т;1556.63;EUR;
2026-03-30;Минск, Беларусь → Смоленск, Россия;FMCG;Фура 20т;934.30;EUR;
2026-03-29;Брест, Беларусь → Москва, Россия;Мебель;Фура 20т;1429.96;EUR;
2026-03-28;Минск, Беларусь → Москва, Россия;Продукты;Тентованный 20т;1361.96;EUR;
2026-03-28;Брест, Беларусь → Москва, Россия;FMCG;Рефрижератор 20т;1568.50;EUR;
2026-03-28;Минск, Беларусь → Смоленск, Россия;Металл;Тентованный 20т;934.29;EUR;
